id,name,type,frameType,desc,atk,def,level,race,attribute,archetype,Set Code,Set_Rarity,Set_Name,Set_Price
31102447,Amazoness Spy,Effect Monster,effect,"You can reveal 1 other ""Amazoness"" monster in your hand; Special Summon this card from your hand. You can only use this effect of ""Amazoness Spy"" once per turn. When this card is destroyed by battle and sent to the GY: You can target 1 ""Amazoness"" monster in your GY, except ""Amazoness Spy""; return it to the hand, or shuffle it into the Deck.",800.0,1200.0,3.0,Warrior,EARTH,Amazoness,SBLS-EN021,(C),Speed Duel: Arena of Lost Souls,1.08
6150044,Arcana Knight Joker,Fusion Monster,fusion,"""Queen's Knight"" + ""Jack's Knight"" + ""King's Knight""
A Fusion Summon of this card can only be done with the above materials. Once per turn, when a Spell/Trap Card, or monster effect, is activated that targets this face-up card on the field (Quick Effect): You can discard the same type of card (Monster, Spell, or Trap); negate the effect.",3800.0,2500.0,9.0,Warrior,LIGHT,Knight,SBLS-EN007,(UR),Speed Duel: Arena of Lost Souls,8.82
20277860,Armored Zombie,Normal Monster,normal,This warrior blindly swings a deadly blade with devastating force.,1500.0,0.0,3.0,Zombie,DARK,,SBLS-EN027,(C),Speed Duel: Arena of Lost Souls,1.38
25880422,Block Attack,Spell Card,spell,Target 1 face-up Attack Position monster your opponent controls; change that target to face-up Defense Position.,,,,Normal,,,SBLS-EN038,(C),Speed Duel: Arena of Lost Souls,1.35
23995346,Blue-Eyes Ultimate Dragon,Fusion Monster,fusion,"""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon""",4500.0,3800.0,12.0,Dragon,LIGHT,Blue-Eyes,SBLS-EN012,(UR),Speed Duel: Arena of Lost Souls,14.53
78193831,Buster Blader,Effect Monster,effect,Gains 500 ATK for each Dragon monster your opponent controls or is in their GY.,2600.0,2300.0,7.0,Warrior,EARTH,,SBLS-EN001,(C),Speed Duel: Arena of Lost Souls,1.23
300101003,Call of the Haunted (Skill Card),Skill Card,skill,"[At the start of the Duel, place this card in your center Spell & Trap Zone. You cannot activate this Skill during your first turn of the Duel. You draw 1 less card at the beginning of the Duel.] 

Activate this card by targeting 1 monster in your GY; Special Summon that target in Attack Position. When this card leaves the field, destroy that monster. When that monster is destroyed, destroy this card.",,,,Bonz,,,SBLS-ENS03,(UR),Speed Duel: Arena of Lost Souls,2.58
92667214,Clown Zombie,Normal Monster,normal,A clown revived by the powers of darkness. Its deadly dance has sent many monsters to their graves.,1350.0,0.0,2.0,Zombie,DARK,,SBLS-EN029,(C),Speed Duel: Arena of Lost Souls,1.15
40465719,Common Charity,Trap Card,trap,"Draw 2 cards, then banish 1 Normal Monster from your hand, or, if you do not have any in your hand, send your entire hand to the GY.",,,,Normal,,,SBLS-EN016,(C),Speed Duel: Arena of Lost Souls,1.05
31000575,Conscription,Trap Card,trap,"Excavate the top card of your opponent's Deck, and if it is a monster that can be Normal Summoned/Set, Special Summon it to your field. Otherwise, add that card to your opponent's hand.",,,,Normal,,,SBLS-EN024,(C),Speed Duel: Arena of Lost Souls,1.03
