id,name,type,frameType,desc,atk,def,level,race,attribute,archetype,banlist_info,Set Code,Set_Rarity,Set_Name,Set_Price
89567993,Amazoness Trainee,Effect Monster,effect,Monsters destroyed by battle with this card are returned to the bottom of the Deck instead of going to the GY. If this card destroys an opponent's monster by battle: It gains 200 ATK.,1500.0,1300.0,4.0,Warrior,EARTH,Amazoness,,SBAD-EN015,(C),Speed Duel: Attack from the Deep,1.1
9156135,Apprentice Magician,Effect Monster,effect,If this card is Summoned: Target 1 face-up card on the field that you can place a Spell Counter on; place 1 Spell Counter on that target. If this card is destroyed by battle: You can Special Summon 1 Level 2 or lower Spellcaster monster from your Deck in face-down Defense Position.,400.0,800.0,2.0,Spellcaster,DARK,Magician,,SBAD-EN002,(SR),Speed Duel: Attack from the Deep,4.17
17896384,Arcane Barrier,Spell Card,spell,"Each time a face-up Spellcaster monster(s) on the field is destroyed, place 1 Spell Counter on this card (max. 4). You can send this card and 1 face-up Spellcaster monster you control to the GY; draw 1 card for each Spell Counter that was on this card.",,,,Continuous,,,,SBAD-EN005,(C),Speed Duel: Attack from the Deep,1.03
48305365,Axe Raider,Normal Monster,normal,An axe-wielding monster of tremendous strength and agility.,1700.0,1150.0,4.0,Warrior,EARTH,,,SBAD-EN009,(C),Speed Duel: Attack from the Deep,1.16
51562916,Big Wave Small Wave,Spell Card,spell,"Destroy all face-up WATER monsters you control, then you can Special Summon WATER monsters from your hand, up to the number of monsters destroyed by this effect.",,,,Normal,,,,SBAD-EN032,(C),Speed Duel: Attack from the Deep,1.07
39507162,Blade Knight,Effect Monster,effect,"Gains 400 ATK while you have 1 or less cards in your hand. If you control no other monsters, the effects of Flip monsters destroyed by battle with this card are negated.",1600.0,1000.0,4.0,Warrior,LIGHT,,,SBAD-EN006,(UR),Speed Duel: Attack from the Deep,7.86
300102003,Catch of the Day,Skill Card,skill,"[Flip this card over when you activate this Skill.]

If you control ""The Legendary Fisherman"", you can activate ""Umi"" directly from your Deck or GY. This Skill can only be used once per Duel.
Once per turn, when ""The Legendary Fisherman"" you control destroys a monster by battle or inflicts battle damage to your opponent, you can Special Summon 1 Level 4 or lower WATER monster from your Deck or GY in Defense Position.",,,,Mako,,Umi,,SBAD-ENS03,(SR),Speed Duel: Attack from the Deep,1.12
30492798,Djinn Disserere of Rituals,Effect Monster,effect,"When you Ritual Summon a monster, you can banish this card from your GY as 1 of the monsters required for the Ritual Summon. The monster Ritual Summoned using this card is unaffected by Trap effects.",200.0,200.0,1.0,Fiend,DARK,Djinn,,SBAD-EN013,(C),Speed Duel: Attack from the Deep,1.09
60082869,Dust Tornado,Trap Card,trap,"Target 1 Spell/Trap your opponent controls; destroy that target, then you can Set 1 Spell/Trap from your hand.",,,,Normal,,,,SBAD-EN043,(SR),Speed Duel: Attack from the Deep,4.58
46508640,Dweller in the Depths,Effect Monster,effect,Gains 300 ATK for each Continuous Spell in your Spell & Trap Zone.,1500.0,700.0,3.0,Dragon,EARTH,,,SBAD-EN007,(C),Speed Duel: Attack from the Deep,1.02
51282878,Fishborg Planter,Effect Monster,effect,"Once, while this card is in the GY: You can send the top card of your Deck to the GY, then, if it is a WATER monster, Special Summon this card from the GY. You can only use this effect of ""Fishborg Planter"" once per turn.",200.0,200.0,2.0,Fish,WATER,Fishborg,,SBAD-EN027,(C),Speed Duel: Attack from the Deep,1.03
48206762,Fulfillment of the Contract,Spell Card,spell,"Activate this card by paying 800 LP, then target 1 Ritual Monster in your GY; Special Summon it and equip it with this card. When this card is destroyed, banish the equipped monster.",,,,Equip,,,,SBAD-EN014,(C),Speed Duel: Attack from the Deep,1.08
18511384,Fusion Recovery,Spell Card,spell,"Target 1 ""Polymerization"" in your GY, and 1 monster in your GY that was used as material for a Fusion Summon; add them to your hand.",,,,Normal,,,,SBAD-EN010,(C),Speed Duel: Attack from the Deep,1.39
36354007,Gilford the Lightning,Effect Monster,effect,You can Tribute 3 monsters to Tribute Summon (but not Set) this card. If Summoned this way: Destroy all monsters your opponent controls.,2800.0,1400.0,8.0,Warrior,LIGHT,,,SBAD-EN008,(UR),Speed Duel: Attack from the Deep,5.62
63665875,Goblin Zombie,Effect Monster,effect,If this card inflicts battle damage to your opponent: Send the top card of their Deck to the GY. If this card is sent from the field to the GY: Add 1 Zombie monster with 1200 or less DEF from your Deck to your hand.,1100.0,1050.0,4.0,Zombie,DARK,,,SBAD-EN018,(C),Speed Duel: Attack from the Deep,1.24
10809984,Great Phantom Thief,Effect Monster,effect,"If this card inflicts battle damage to your opponent: Declare 1 card name; look at your opponent's hand, and if you do, discard all cards with that name in their hand.",1000.0,1000.0,3.0,Spellcaster,EARTH,,,SBAD-EN012,(C),Speed Duel: Attack from the Deep,1.12
13429800,Great White,Normal Monster,normal,A giant white shark with razor-sharp teeth.,1600.0,800.0,4.0,Fish,WATER,Shark,,SBAD-EN021,(C),Speed Duel: Attack from the Deep,1.07
54579801,High Tide Gyojin,Normal Monster,normal,A very agile half-fish warrior known for its relentless attacks.,1650.0,1300.0,4.0,Aqua,WATER,,,SBAD-EN022,(C),Speed Duel: Attack from the Deep,1.08
41952656,Imairuka,Effect Monster,effect,"If this card you control is destroyed by your opponent's card and sent to your GY: Send the top card of your Deck to the GY, then, if it is a WATER monster, draw 1 card.",1000.0,1000.0,2.0,Sea Serpent,WATER,,,SBAD-EN028,(C),Speed Duel: Attack from the Deep,1.05
7264861,Infernity Beast,Effect Monster,effect,"If this card attacks while you have no cards in your hand, your opponent cannot activate any Spell or Trap Cards until after the Damage Step.",1600.0,1200.0,3.0,Beast,DARK,Infernity,,SBAD-EN039,(C),Speed Duel: Attack from the Deep,1.12
300102004,It's My Lucky Day!,Skill Card,skill,"[Flip this card over when you activate this Skill..]

When you activate an effect that would make you roll a six-sided die (or dice) or flip a coin(s), you can pay 1000 LP to decide the result of 1 die or coin. This Skill can only be used once per Duel.",,,,Joey,,,,SBAD-ENS04,(SR),Speed Duel: Attack from the Deep,2.93
37721209,Levia-Dragon - Daedalus,Effect Monster,effect,"You can send 1 face-up ""Umi"" you control to the GY; destroy all other cards on the field.",2600.0,1500.0,7.0,Sea Serpent,WATER,Umi,,SBAD-EN025,(UR),Speed Duel: Attack from the Deep,3.38
95231062,Lost Blue Breaker,Effect Monster,effect,"If there is another face-up Fish, Sea Serpent, or Aqua monster on the field: You can Tribute this card, then target 1 Spell/Trap on the field; destroy that target.",1400.0,0.0,3.0,Sea Serpent,WATER,,,SBAD-EN026,(C),Speed Duel: Attack from the Deep,0.99
30608985,Magical Undertaker,Flip Effect Monster,effect,FLIP: You can target 1 Level 4 or lower Spellcaster monster in your GY; Special Summon that target.,400.0,400.0,2.0,Spellcaster,DARK,,,SBAD-EN004,(C),Speed Duel: Attack from the Deep,1.31
31560081,Magician of Faith,Flip Effect Monster,effect,FLIP: Target 1 Spell in your GY; add that target to your hand.,300.0,400.0,1.0,Spellcaster,LIGHT,,,SBAD-EN001,(UR),Speed Duel: Attack from the Deep,14.97
56948373,Mask of the Accursed,Spell Card,spell,"The equipped monster cannot attack. Once per turn, during your Standby Phase: Inflict 500 damage to the controller of the equipped monster.",,,,Equip,,Mask,,SBAD-EN042,(C),Speed Duel: Attack from the Deep,1.22
22123627,Moray of Greed,Spell Card,spell,"Shuffle 2 WATER monsters from your hand into the Deck, then draw 3 cards.",,,,Normal,,Greed,,SBAD-EN034,(C),Speed Duel: Attack from the Deep,2.07
15025844,Mystical Elf,Normal Monster,normal,"A delicate elf that lacks offense, but has a terrific defense backed by mystical power.",800.0,2000.0,4.0,Spellcaster,LIGHT,,,SBAD-EN003,(C),Speed Duel: Attack from the Deep,1.03
300102002,Mythic Depths,Skill Card,skill,"[At the start of the Duel, place this card in your Field Zone and flip it over.]

All Fish, Sea Serpent, Thunder, and Aqua monsters on the field gain 200 ATK/DEF. All Machine and Pyro monsters on the field lose 200 ATK/DEF. This card's name becomes ""Umi"" while on the field.",,,,Mako,,Umi,,SBAD-ENS02,(SR),Speed Duel: Attack from the Deep,1.77
77027445,Power of Kaishin,Spell Card,spell,Equip only to an Aqua monster. It gains 300 ATK/DEF.,,,,Equip,,,,SBAD-EN030,(C),Speed Duel: Attack from the Deep,1.1
