id,name,type,frameType,desc,atk,def,level,race,attribute,archetype,banlist_info,Set Code,Set_Rarity,Set_Name,Set_Price
3900605,Absorbing Jar,Flip Effect Monster,effect,"FLIP: Destroy all Set Spell/Trap Cards on the field, then each player draws 1 card for each of the cards they controlled that was destroyed by this effect. You cannot Set any cards this turn.",600.0,500.0,3.0,Rock,EARTH,,,SBCB-EN031,(C),Speed Duel: Battle City Box,1.04
41356845,Acid Trap Hole,Trap Card,trap,"Target 1 face-down Defense Position monster on the field; flip it face-up, then destroy it if its DEF is 2000 or less, or return it face-down if its DEF is more than 2000.",,,,Normal,,Hole,,SBCB-EN102,(C),Speed Duel: Battle City Box,1.1
18036057,Airknight Parshath,Effect Monster,effect,"If this card attacks a Defense Position monster, inflict piercing battle damage. If this card inflicts battle damage to your opponent: Draw 1 card.",1900.0,1400.0,5.0,Fairy,LIGHT,Parshath,,SBCB-EN132,(C),Speed Duel: Battle City Box,1.42
89386122,Ally of Justice Clausolas,Normal Monster,normal,"A mighty monster in Mist Valley, and the ultimate weapon designed from Claiomh Solais. Its surprise attacks from above baffle invaders.",2300.0,1200.0,6.0,Machine,DARK,Ally of Justice,,SBCB-EN169,(C),Speed Duel: Battle City Box,1.13
99785935,Alpha The Magnet Warrior,Normal Monster,normal,"''Alpha, Beta, and Gamma meld as one to form a powerful monster.''",1400.0,1700.0,4.0,Rock,EARTH,Magnet Warrior,,SBCB-EN023,(C),Speed Duel: Battle City Box,1.19
303660,Amplifier,Spell Card,spell,"Equip only to ""Jinzo"". While this card is equipped, the equipped monster's effect does not negate the effects of its controller's Trap Cards. When this card is removed from the field, destroy the equipped monster. This card's activation and effect cannot be negated.",,,,Equip,,,,SBCB-EN157,(C),Speed Duel: Battle City Box,1.33
56784842,Angel O7,Effect Monster,effect,"When this card is Tribute Summoned, it gains the following effect: ● The effects of Effect Monsters cannot be activated.",2500.0,1500.0,7.0,Fairy,LIGHT,Fairy,,SBCB-EN135,(C),Speed Duel: Battle City Box,1.28
85639257,Aqua Madoor,Normal Monster,normal,A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.,1200.0,2000.0,4.0,Spellcaster,WATER,Madoor,,SBCB-EN002,(C),Speed Duel: Battle City Box,1.08
50287060,Archfiend of Gilfer,Effect Monster,effect,When this card is sent to the Graveyard: You can target 1 face-up monster on the field; equip that target with this card. That monster loses 500 ATK while equipped with this card.,2200.0,2500.0,6.0,Fiend,DARK,Archfiend,,SBCB-EN004,(C),Speed Duel: Battle City Box,1.09
22796548,Archfiend's Oath,Spell Card,spell,"Once per turn: You can pay 500 Life Points, then declare 1 card name; excavate the top card of your Deck, and if it is the declared card, add it to your hand. Otherwise, send it to the Graveyard.",,,,Continuous,,Archfiend,,SBCB-EN190,(C),Speed Duel: Battle City Box,1.11
83715234,Attack the Moon!,Spell Card,spell,"Once per turn, when the battle position of a Rock-Type monster you control is changed: You can target 1 Spell/Trap Card your opponent controls; destroy that target.",,,,Continuous,,,,SBCB-EN033,(C),Speed Duel: Battle City Box,1.09
61528025,Banisher of the Light,Effect Monster,effect,Any card sent to the Graveyard is banished instead.,100.0,2000.0,3.0,Fairy,LIGHT,,,SBCB-EN171,(C),Speed Duel: Battle City Box,1.26
94853057,Banisher of the Radiance,Effect Monster,effect,Any card sent to the Graveyard is banished instead.,1600.0,0.0,3.0,Fairy,LIGHT,,,SBCB-EN179,(C),Speed Duel: Battle City Box,1.47
41925941,Bark of Dark Ruler,Trap Card,trap,"If a Fiend-Type monster you control battles, during the Damage Step: Pay LP (in multiples of 100 points), then target the opponent's battling monster; that opponent's monster loses that much ATK and DEF, until the end of this turn.",,,,Normal,,,,SBCB-EN124,(C),Speed Duel: Battle City Box,1.05
42233477,Battleguard Rage,Trap Card,trap,"Activate this card by targeting 1 Warrior-Type monster you control; it gains 1000 ATK. Monsters destroyed by battle with it are returned to the hand instead of going to the Graveyard. When that monster leaves the field, destroy this card.",,,,Continuous,,Battleguard,,SBCB-EN166,(C),Speed Duel: Battle City Box,1.22
40133511,Bazoo the Soul-Eater,Effect Monster,effect,"Once per turn: You can banish up to 3 monsters from your Graveyard; this card gains 300 ATK for each, until the end of your opponent's turn.",1600.0,900.0,4.0,Beast,EARTH,,,SBCB-EN048,(C),Speed Duel: Battle City Box,1.15
11761845,Beast of Talwar,Normal Monster,normal,"Only the master of the sword among Fiend-Type monsters is permitted to hold the Talwar.


(This card is always treated as an ""Archfiend"" card.)",2400.0,2150.0,6.0,Fiend,DARK,Archfiend,,SBCB-EN111,(C),Speed Duel: Battle City Box,1.07
300302006,Beasts of Phantom,Skill Card,skill,"During your Main Phase, discard 1 card, then Fusion Summon 1 ""Chimera the Flying Mythical Beast"" from your Extra Deck, using monsters from your hand or field as Fusion Material. During your End Phase, if ""Chimera the Flying Mythical Beast"" was Fusion Summoned this turn, you can add 1 ""Phantom Beast"" monster from your GY to your hand. Each of these Skills can only be used once per turn.",,,,Yami Yugi,,,,SBCB-ENS14,(C),Speed Duel: Battle City Box,1.33
22996376,Behemoth the King of All Animals,Effect Monster,effect,"This card can be Normal Summoned or Set with 1 Tribute. In that case, the original ATK of this card becomes 2000. When this card is Tribute Summoned, you can return from your Graveyard to the owner's hand a number of Beast-Type monsters equal to the number of Tributed monsters.",2700.0,1500.0,7.0,Beast,EARTH,,,SBCB-EN052,(C),Speed Duel: Battle City Box,1.14
77207191,Berfomet,Effect Monster,effect,"When this card is Normal or Flip Summoned: You can add 1 ""Gazelle the King of Mythical Beasts"" from your Deck to your hand.",1400.0,1800.0,5.0,Fiend,DARK,,,SBCB-EN043,(C),Speed Duel: Battle City Box,1.11
39256679,Beta The Magnet Warrior,Normal Monster,normal,"''Alpha, Beta, and Gamma meld as one to form a powerful monster.''",1700.0,1600.0,4.0,Rock,EARTH,Magnet Warrior,,SBCB-EN024,(C),Speed Duel: Battle City Box,1.24
72580321,Block Golem,Effect Monster,effect,"If all the monsters in your Graveyard are EARTH: You can Tribute this card to target 2 Level 4 or lower Rock-Type monsters in your Graveyard, except ""Block Golem""; Special Summon those targets, but their effects that activate on the field cannot be activated this turn.",1000.0,1500.0,3.0,Rock,EARTH,,,SBCB-EN032,(C),Speed Duel: Battle City Box,1.15
25551951,Blowback Dragon,Effect Monster,effect,Once per turn: You can target 1 card your opponent controls; toss a coin 3 times and destroy that target if at least 2 of the results are heads.,2300.0,1200.0,6.0,Machine,DARK,,,SBCB-EN176,(C),Speed Duel: Battle City Box,1.23
89631139,Blue-Eyes White Dragon,Normal Monster,normal,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.",3000.0,2500.0,8.0,Dragon,LIGHT,Blue-Eyes,,SBCB-EN087,(C),Speed Duel: Battle City Box,2
263926,Bonze Alone,Effect Monster,effect,Cannot be Normal or Special Summoned if you control a monster. You can Special Summon this card (from your hand) in Attack Position. If another monster(s) is Summoned to your field while you control this monster: Destroy this card.,100.0,100.0,1.0,Fairy,EARTH,,,SBCB-EN137,(C),Speed Duel: Battle City Box,1.08
14087893,Book of Moon,Spell Card,spell,Target 1 face-up monster on the field; change that target to face-down Defense Position.,,,,Quick-Play,,Book of,,SBCB-EN013,(C),Speed Duel: Battle City Box,1.64
71413901,Breaker the Magical Warrior,Effect Monster,effect,"If this card is Normal Summoned: Place 1 Spell Counter on it (max. 1). Gains 300 ATK for each Spell Counter on it. You can remove 1 Spell Counter from this card, then target 1 Spell/Trap on the field; destroy that target.",1600.0,1000.0,4.0,Spellcaster,DARK,,{'ban_goat': 'Limited'},SBCB-EN008,(C),Speed Duel: Battle City Box,3.27
78193831,Buster Blader,Effect Monster,effect,Gains 500 ATK for each Dragon monster your opponent controls or is in their GY.,2600.0,2300.0,7.0,Warrior,EARTH,,,SBCB-EN003,(C),Speed Duel: Battle City Box,1.17
3428069,"Buster Blader, the Destruction Swordmaster",Effect Monster,effect,"This card's name becomes ""Buster Blader"" while it is on the field or in the Graveyard. If a monster(s) your opponent controls is destroyed by battle or card effect and sent to the Graveyard: You can target 1 of those destroyed monsters; equip it to this card. Once per turn: You can send 1 Monster Card you control that is equipped to this card to the Graveyard; destroy all monsters your opponent controls with the same Type as that monster sent to the Graveyard.",2600.0,2300.0,7.0,Warrior,EARTH,Destruction Sword,,SBCB-EN182,(C),Speed Duel: Battle City Box,1.19
28106077,Cestus of Dagla,Spell Card,spell,Equip only to a Fairy-Type monster. It gains 500 ATK. If it inflicts battle damage to your opponent: Gain LP equal to the damage inflicted.,,,,Equip,,,,SBCB-EN140,(C),Speed Duel: Battle City Box,1.3
4796100,Chimera the Flying Mythical Beast,Fusion Monster,fusion,"""Gazelle the King of Mythical Beasts"" + ""Berfomet""
(This card is always treated as a ""Phantom Beast"" card.)
When this card is destroyed: You can target 1 ""Berfomet"" or 1 ""Gazelle the King of Mythical Beasts"" in your Graveyard; Special Summon that target.",2100.0,1800.0,6.0,Beast,WIND,,,SBCB-EN062,(C),Speed Duel: Battle City Box,1.11
43417563,Commencement Dance,Spell Card,spell,"This card is used to Ritual Summon ""Performance of Sword"". You must also Tribute monsters whose total Level Stars equal 6 or more from the field or your hand.",,,,Ritual,,,,SBCB-EN186,(C),Speed Duel: Battle City Box,1.06
21843307,Copy Knight,Trap Card,trap,When a Level 4 or lower Warrior-Type monster is Normal Summoned to your side of the field: Special Summon this card as a Normal Monster with the same name and Level as the Normal Summoned monster (Warrior-Type/LIGHT/ATK 0/DEF 0). (This card is also still a Trap Card.),,,,Continuous,,,,SBCB-EN198,(C),Speed Duel: Battle City Box,1.09
8267140,Cosmic Cyclone,Spell Card,spell,"Pay 1000 LP, then target 1 Spell/Trap on the field; banish it.",,,,Quick-Play,,,,SBCB-EN142,(C),Speed Duel: Battle City Box,3.12
31036355,Creature Swap,Spell Card,spell,Each player chooses 1 monster they control and switches control of those monsters with each other. Those monsters cannot change their battle positions for the rest of this turn.,,,,Normal,,,{'ban_goat': 'Semi-Limited'},SBCB-EN159,(C),Speed Duel: Battle City Box,1.73
94377247,Curse of the Masked Beast,Spell Card,spell,"This card is used to Ritual Summon ""The Masked Beast"". You must also Tribute monsters from your hand or field whose total Levels equal 8 or more.",,,,Ritual,,Mask,,SBCB-EN120,(C),Speed Duel: Battle City Box,1.12
80316585,Cyber Harpie Lady,Effect Monster,effect,"(This card's name is always treated as ""Harpie Lady"".)",1800.0,1300.0,4.0,Winged Beast,WIND,Harpie,,SBCB-EN173,(C),Speed Duel: Battle City Box,1.34
11321183,Dark Blade,Normal Monster,normal,"They say he is a dragon-manipulating warrior from the dark world. His attack is tremendous, using his great swords with vicious power.",1800.0,1500.0,4.0,Warrior,DARK,Dark World,,SBCB-EN092,(C),Speed Duel: Battle City Box,1.12
99789342,Dark Magic Curtain,Spell Card,spell,"Pay half your LP; Special Summon 1 ""Dark Magician"" from your Deck. You cannot Summon other monsters the turn you activate this card (but you can Set).",,,,Normal,,Dark Magician,,SBCB-EN010,(C),Speed Duel: Battle City Box,1.12
36996508,Dark Magician,Normal Monster,normal,''The ultimate wizard in terms of attack and defense.'',2500.0,2100.0,7.0,Spellcaster,DARK,Dark Magician,,SBCB-EN001,(C),Speed Duel: Battle City Box,1.55
98502113,Dark Paladin,Fusion Monster,fusion,"""Dark Magician"" + ""Buster Blader""
Must be Fusion Summoned. When a Spell Card is activated (Quick Effect): You can discard 1 card; negate the activation, and if you do, destroy it. This card must be face-up on the field to activate and to resolve this effect. Gains 500 ATK for each Dragon monster on the field and in the GY.",2900.0,2400.0,8.0,Spellcaster,DARK,Dark Magician,,SBCB-EN021,(C),Speed Duel: Battle City Box,1.41
48768179,Dark Scorpion - Gorg the Strong,Effect Monster,effect,"When this card inflicts Battle Damage to your opponent, you can activate 1 of these effects:
● Target 1 monster your opponent controls; return that target to the top of the Deck.
● Send the top card of their Deck to the Graveyard.",1800.0,1500.0,5.0,Warrior,DARK,Dark Scorpion,,SBCB-EN155,(C),Speed Duel: Battle City Box,1.08
74153887,Dark Scorpion - Meanae the Thorn,Effect Monster,effect,"When this card inflicts Battle Damage to your opponent, you can activate 1 of these effects:
● Add 1 ""Dark Scorpion"" card from your Deck to your hand.
● Target 1 ""Dark Scorpion"" card in your Graveyard; add that target to your hand.",1000.0,1800.0,4.0,Warrior,DARK,Dark Scorpion,,SBCB-EN156,(C),Speed Duel: Battle City Box,1.08
41930553,Dark Smog,Trap Card,trap,"Once per turn: You can target 1 monster in your opponent's Graveyard; discard 1 Fiend-Type monster, and if you do, banish that target.",,,,Continuous,,,,SBCB-EN126,(C),Speed Duel: Battle City Box,1.1
29876529,Darklight,Trap Card,trap,Tribute 1 DARK monster with 1500 or more ATK; destroy all monsters that were Special Summoned this turn.,,,,Normal,,,,SBCB-EN019,(C),Speed Duel: Battle City Box,1.09
95286165,De-Fusion,Spell Card,spell,"Target 1 Fusion Monster on the field; return that target to the Extra Deck, then, if all the Fusion Materials that were used for its Fusion Summon are in your GY, you can Special Summon all of them.",,,,Quick-Play,,,,SBCB-EN012,(C),Speed Duel: Battle City Box,1.53
12262393,Delta The Magnet Warrior,Effect Monster,effect,"If this card is Normal or Special Summoned: You can send 1 Level 4 or lower ""Magnet Warrior"" monster from your Deck to the Graveyard. If this card is sent to the Graveyard: You can banish 3 Level 4 or lower ""Magnet Warrior"" monsters from your Graveyard, except ""Delta The Magnet Warrior""; Special Summon 1 ""Valkyrion the Magna Warrior"" from your hand or Deck, ignoring its Summoning conditions. You can only use each effect of ""Delta The Magnet Warrior"" once per turn.",1600.0,1400.0,4.0,Rock,EARTH,Magnet Warrior,,SBCB-EN026,(C),Speed Duel: Battle City Box,1.5
12079734,Delta Tri,Effect Monster,effect,"If this card destroys an opponent's monster by battle, select and activate 1 of these effects: 
● Select 1 appropriate Union monster in your Graveyard and equip it to this card. 
● Select 1 face-up LIGHT Machine-Type monster you control, and return it to the Deck. Then draw 1 card.",1200.0,1000.0,4.0,Machine,LIGHT,,,SBCB-EN073,(C),Speed Duel: Battle City Box,1
