id,name,type,frameType,desc,race,atk,def,level,attribute,archetype,Set Code,Set_Rarity,Set_Name,Set_Price
46052429,Advanced Ritual Art,Spell Card,spell,This card is used to Ritual Summon any 1 Ritual Monster. You must also send Normal Monsters from your Deck to the GY whose total Levels equal the Level of that Ritual Monster.,Ritual,,,,,,SS04-ENV01,(UR),Speed Duel Starter Decks: Match of the Millennium,3.4
28486799,Backup Squad,Spell Card,spell,Each time you take 1000 or more damage by your opponent's card effect or their monster's attack: Draw 1 card for every 1000 damage you took.,Continuous,,,,,,SS04-ENA27,(C),Speed Duel Starter Decks: Match of the Millennium,4.61
32452818,Beaver Warrior,Normal Monster,normal,What this creature lacks in size it makes up for in defense when battling in the prairie.,Beast-Warrior,1200.0,1500.0,4.0,EARTH,,SS04-ENA05,(C),Speed Duel Starter Decks: Match of the Millennium,1.34
41426869,Black Illusion Ritual,Spell Card,spell,"This card is used to Ritual Summon ""Relinquished"". You must also Tribute a monster from your hand or field whose Level is 1 or more.",Ritual,,,,,Eyes Restrict,SS04-ENB18,(C),Speed Duel Starter Decks: Match of the Millennium,1.42
55761792,Black Luster Ritual,Spell Card,spell,"This card is used to Ritual Summon ""Black Luster Soldier"". You must also Tribute monsters from your hand or field whose total Levels equal 8 or more.",Ritual,,,,,Black Luster Soldier,SS04-ENA17,(C),Speed Duel Starter Decks: Match of the Millennium,1.71
5405694,Black Luster Soldier,Ritual Monster,ritual,"You can Ritual Summon this card with ""Black Luster Ritual"".",Warrior,3000.0,2500.0,8.0,EARTH,Black Luster Soldier,SS04-ENA16,(C),Speed Duel Starter Decks: Match of the Millennium,2.89
91152256,Celtic Guardian,Normal Monster,normal,"An elf who learned to wield a sword, he baffles enemies with lightning-swift attacks.",Warrior,1400.0,1200.0,4.0,EARTH,Celtic Guard,SS04-ENA06,(C),Speed Duel Starter Decks: Match of the Millennium,1.35
7841921,Charging Gaia the Fierce Knight,Effect Monster,effect,"You can Normal Summon this card without Tributing. If this card is Normal Summoned without Tributing, its original ATK becomes 1900. If this card is Tributed: You can add 1 ""Black Luster Soldier"" monster from your Deck to your hand. You can only use this effect of ""Charging Gaia the Fierce Knight"" once per turn.",Warrior,2300.0,2100.0,7.0,LIGHT,Gaia The Fierce Knight,SS04-ENA10,(C),Speed Duel Starter Decks: Match of the Millennium,3.35
28279543,Curse of Dragon,Normal Monster,normal,A wicked dragon that taps into dark forces to execute a powerful attack.,Dragon,2000.0,1500.0,5.0,DARK,Gaia The Fierce Knight,SS04-ENA03,(C),Speed Duel Starter Decks: Match of the Millennium,1.39
24508238,D.D. Crow,Effect Monster,effect,"(Quick Effect): You can discard this card to the GY, then target 1 card in your opponent's GY; banish that target.",Winged Beast,100.0,100.0,1.0,DARK,D.D.,SS04-ENV02,(UR),Speed Duel Starter Decks: Match of the Millennium,14.9
