id,name,type,frameType,desc,race,atk,def,level,attribute,archetype,Set Code,Set_Rarity,Set_Name,Set_Price
1475311,Allure of Darkness,Spell Card,spell,"Draw 2 cards, then banish 1 DARK monster from your hand, or, if you do not have any in your hand, send your entire hand to the GY.",Normal,,,,,,SS05-ENA26,(C),Speed Duel Starter Decks: Twisted Nightmares,11.76
52090844,Bowganian,Effect Monster,effect,"Once per turn, during your Standby Phase: Inflict 600 damage to your opponent.",Machine,1300.0,1000.0,3.0,DARK,,SS05-ENB20,(C),Speed Duel Starter Decks: Twisted Nightmares,1.25
74277583,Brave Scizzar,Normal Monster,normal,"Armed with a mass of scissors, this monster can clip an enemy into any desired shape and size.",Machine,1300.0,1000.0,4.0,DARK,,SS05-ENB03,(C),Speed Duel Starter Decks: Twisted Nightmares,1.26
17597059,Byser Shock,Effect Monster,effect,If this card is Summoned: Return all Set cards on the field to the hand.,Fiend,800.0,600.0,5.0,DARK,,SS05-ENB12,(C),Speed Duel Starter Decks: Twisted Nightmares,1.24
65830223,Coffin Seller,Trap Card,trap,Each time a monster(s) is sent to your opponent's GY: Inflict 300 damage to your opponent.,Continuous,,,,,,SS05-ENB28,(C),Speed Duel Starter Decks: Twisted Nightmares,1.27
40465719,Common Charity,Trap Card,trap,"Draw 2 cards, then banish 1 Normal Monster from your hand, or, if you do not have any in your hand, send your entire hand to the GY.",Normal,,,,,,SS05-ENA29,(C),Speed Duel Starter Decks: Twisted Nightmares,1.11
15305240,Creature Seizure,Spell Card,spell,Each player gives their opponent control of 1 of their monsters (controller's choice). You must choose a face-up Normal Monster.,Normal,,,,,,SS05-ENB23,(C),Speed Duel Starter Decks: Twisted Nightmares,1.1
78811937,Creeping Darkness,Spell Card,spell,Banish 2 DARK monsters from your GY; add 1 Level 4 DARK monster from your Deck to your hand.,Normal,,,,,,SS05-ENA27,(C),Speed Duel Starter Decks: Twisted Nightmares,1.23
674561,Dark Eruption,Spell Card,spell,Target 1 DARK monster with 1500 or less ATK in your GY; add that target to your hand.,Normal,,,,,,SS05-ENA24,(C),Speed Duel Starter Decks: Twisted Nightmares,1.12
90980792,Dark Jeroid,Effect Monster,effect,If this card is Summoned: Target 1 face-up monster on the field; it loses 800 ATK.,Fiend,1200.0,1500.0,4.0,DARK,Roid,SS05-ENB18,(C),Speed Duel Starter Decks: Twisted Nightmares,1.24
85313220,Dark Lucius LV4,Effect Monster,effect,"Negate the effects of your opponent's monsters destroyed by battle with this card. Once per turn, during the Standby Phase of your next turn after this card has destroyed a monster by battle: You can send this card to the GY; Special Summon 1 ""Dark Lucius LV6"" from your hand or Deck.",Fiend,1000.0,300.0,4.0,EARTH,,SS05-ENB10,(C),Speed Duel Starter Decks: Twisted Nightmares,1.12
12817939,Dark Lucius LV6,Effect Monster,effect,"If this card was Special Summoned by the effect of ""Dark Lucius LV4"", negate the effects of your opponent's monsters destroyed by battle with this card. Once per turn, during the Standby Phase of your next turn after this card negated your opponent's monster effect by this effect: You can send this card to the GY; Special Summon 1 ""Dark Lucius LV8"" from your hand or Deck.",Fiend,1700.0,600.0,6.0,EARTH,,SS05-ENB09,(C),Speed Duel Starter Decks: Twisted Nightmares,1.2
58206034,Dark Lucius LV8,Effect Monster,effect,"If this card was Special Summoned by the effect of ""Dark Lucius LV6"", banish your opponent's monsters destroyed by battle with this card, also negate their effects.",Fiend,2800.0,900.0,8.0,EARTH,,SS05-ENB08,(C),Speed Duel Starter Decks: Twisted Nightmares,1.16
74713516,Dark Mimic LV1,Flip Effect Monster,effect,"FLIP: Draw 1 card.
Once per turn, during your Standby Phase: You can send this card to the GY; Special Summon 1 ""Dark Mimic LV3"" from your hand or Deck.",Fiend,100.0,1000.0,1.0,DARK,,SS05-ENA18,(C),Speed Duel Starter Decks: Twisted Nightmares,2.08
1102515,Dark Mimic LV3,Effect Monster,effect,"If this card is destroyed by battle and sent to the GY: Draw 1 card, but if this card was Special Summoned by the effect of ""Dark Mimic LV1"", draw 2 cards instead.",Fiend,1000.0,1000.0,3.0,DARK,,SS05-ENA17,(C),Speed Duel Starter Decks: Twisted Nightmares,1.28
31829185,Dark Necrofear,Effect Monster,effect,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 3 Fiend monsters from your GY. During the End Phase, if this card is in your GY because it was destroyed in your Monster Zone by an opponent's card and sent there this turn: Target 1 face-up monster your opponent controls; equip this card to that target. While this card is equipped to a monster by this effect, take control of that monster.",Fiend,2200.0,2800.0,8.0,DARK,,SS05-ENA01,(C),Speed Duel Starter Decks: Twisted Nightmares,1.23
89558090,Dark Prisoner,Normal Monster,normal,This monster bends light to hide its image from the eyes of opponents.,Fiend,600.0,1000.0,3.0,DARK,,SS05-ENB06,(C),Speed Duel Starter Decks: Twisted Nightmares,1.21
53982768,Dark Ruler Ha Des,Effect Monster,effect,Cannot be Special Summoned from the GY. Negate the effects of monsters destroyed by battle with Fiend monsters you control.,Fiend,2450.0,1600.0,6.0,DARK,,SS05-ENA11,(C),Speed Duel Starter Decks: Twisted Nightmares,1.33
30325729,Dokuroyaiba,Normal Monster,normal,A boomerang with brains that will pursue a target to the ends of the earth.,Fiend,1000.0,400.0,3.0,FIRE,,SS05-ENB07,(C),Speed Duel Starter Decks: Twisted Nightmares,1.12
99050989,Drillago,Effect Monster,effect,"If the only cards your opponent controls are face-up monsters with 1600 or more ATK, this card can attack your opponent directly.",Machine,1600.0,1100.0,4.0,DARK,,SS05-ENB19,(C),Speed Duel Starter Decks: Twisted Nightmares,1.31
67105242,Earthbound Spirit,Normal Monster,normal,"A vengeful creature formed by the spirits of fallen warriors, it drags any who dare approach it into the deepest bowels of the earth.",Fiend,500.0,2000.0,4.0,EARTH,Earthbound,SS05-ENA08,(C),Speed Duel Starter Decks: Twisted Nightmares,1.27
68396778,Faustian Bargain,Spell Card,spell,"Target 1 Special Summoned monster on either field; send it to the GY, and if you do, Special Summon 1 Level 4 or lower Normal Monster from your hand.",Normal,,,,,,SS05-ENB24,(C),Speed Duel Starter Decks: Twisted Nightmares,1.56
37955049,Gaap the Divine Soldier,Effect Monster,effect,"All monsters are changed to Attack Position, also their battle positions cannot be changed. (Flip Effects are not activated.) Once per turn: You can reveal any number of Fiend monsters in your hand; this card gains 300 ATK for each, until the end of this turn.",Fiend,2200.0,2000.0,6.0,DARK,,SS05-ENA10,(C),Speed Duel Starter Decks: Twisted Nightmares,1.29
38445524,Gil Garth,Normal Monster,normal,This steel-armored terror machine ruthlessly strikes down enemies with its giant katana.,Fiend,1800.0,1200.0,4.0,DARK,,SS05-ENB05,(C),Speed Duel Starter Decks: Twisted Nightmares,1.32
