id,name,type,frameType,desc,race,archetype,atk,def,level,attribute,Set Code,Set_Rarity,Set_Name,Set_Price
62325062,Adhesion Trap Hole,Trap Card,trap,When your opponent Summons a monster(s): Halve that monster(s)'s original ATK.,Normal,Hole,,,,,SS03-ENB28,(C),Speed Duel Starter Decks: Ultimate Predators,1.09
70924884,Alinsection,Normal Monster,normal,A stag beetle with a saw-like head and arms.,Insect,,950.0,700.0,3.0,EARTH,SS03-ENB07,(C),Speed Duel Starter Decks: Ultimate Predators,1.07
5183693,Amulet of Ambition,Spell Card,spell,"Equip only to a Normal Monster. If it battles a monster with a higher Level, the equipped monster gains 500 ATK x the difference in Levels, during that damage calculation only. When this card is sent to the GY: You can place it on top of your Deck.",Equip,,,,,,SS03-ENB23,(C),Speed Duel Starter Decks: Ultimate Predators,1.1
89904598,Anthrosaurus,Normal Monster,normal,"Dis man-like dinosawz gotta high I.Q., even tho he's lackin' in da strength depawtment. (Kinda like yooz, if ya had a high I.Q.! Nyaah!)",Dinosaur,,1000.0,850.0,3.0,EARTH,SS03-ENA06,(C),Speed Duel Starter Decks: Ultimate Predators,1.06
89091579,Basic Insect,Normal Monster,normal,"Usually found traveling in swarms, this creature's ideal environment is the forest.",Insect,,500.0,700.0,2.0,EARTH,SS03-ENB04,(C),Speed Duel Starter Decks: Ultimate Predators,1.06
1474910,Bee List Soldier,Effect Monster,effect,"You can Tribute this card and 1 face-up Insect monster, except ""Bee List Soldier""; draw 2 cards.",Insect,,500.0,400.0,1.0,WIND,SS03-ENB14,(C),Speed Duel Starter Decks: Ultimate Predators,1.04
30587695,Beetron,Effect Monster,effect,"You can send 1 face-up Spell/Trap you control to the GY, then target 1 Level 4 or lower Insect monster in your GY; Special Summon that Insect monster in Defense Position. You can only use this effect of ""Beetron"" once per turn.",Insect,,1600.0,900.0,4.0,DARK,SS03-ENB15,(C),Speed Duel Starter Decks: Ultimate Predators,1.11
53606874,Big Insect,Normal Monster,normal,"A giant ant that dwells in the jungle, it is powerful whether attacking or defending.",Insect,,1200.0,1500.0,4.0,EARTH,SS03-ENB03,(C),Speed Duel Starter Decks: Ultimate Predators,1.56
79409334,Black Stego,Effect Monster,effect,If this Attack Position card is targeted for an attack: Change this card to Defense Position.,Dinosaur,,1200.0,2000.0,4.0,EARTH,SS03-ENA15,(C),Speed Duel Starter Decks: Ultimate Predators,1.07
38670435,Black Tyranno,Effect Monster,effect,"If the only cards your opponent controls are Defense Position monsters, this card can attack directly.",Dinosaur,,2600.0,1800.0,7.0,EARTH,SS03-ENA07,(C),Speed Duel Starter Decks: Ultimate Predators,1.12
52112003,Card Advance,Spell Card,spell,"Look at up to 5 cards from the top of your Deck, then place them on the top of the Deck in any order. You can Tribute Summon 1 monster in addition to your Normal Summon/Set this turn. (You can only gain this effect once per turn.)",Normal,,,,,,SS03-ENA24,(C),Speed Duel Starter Decks: Ultimate Predators,1.39
40240595,Cocoon of Evolution,Effect Monster,effect,"You can target 1 ""Petit Moth"" you control; equip this card from your hand to that target. While equipped by this effect, the original ATK/DEF of that ""Petit Moth"" becomes the ATK/DEF of ""Cocoon of Evolution"".",Insect,,0.0,2000.0,3.0,EARTH,SS03-ENB09,(C),Speed Duel Starter Decks: Ultimate Predators,1.12
13235258,Corrosive Scales,Trap Card,trap,"Target 1 Insect monster you control; equip this card to it. While you control the equipped monster, your opponent's monsters cannot attack Insect monsters, except the equipped monster. While this card is equipped to a monster, each time your opponent Normal or Special Summons a monster(s), OR activates a card or effect, place 1 Scale Counter on each face-up monster they control. Each monster your opponent controls loses 100 ATK/DEF for each Scale Counter it has.",Normal,,,,,,SS03-ENB27,(C),Speed Duel Starter Decks: Ultimate Predators,1.05
23265313,Cost Down,Spell Card,spell,"Discard 1 card; for the rest of this turn, reduce the Levels of all monsters in your hand by 2 (even after they are Summoned).",Normal,,,,,,SS03-ENA20,(C),Speed Duel Starter Decks: Ultimate Predators,1.52
38289717,Crawling Dragon #2,Normal Monster,normal,A powerful dragon with teeth that can grind almost anything to dust.,Dinosaur,,1600.0,1200.0,4.0,EARTH,SS03-ENA04,(C),Speed Duel Starter Decks: Ultimate Predators,1.05
65287621,Dark Driceratops,Effect Monster,effect,"If this card attacks a Defense Position monster, inflict piercing battle damage.",Dinosaur,,2400.0,1500.0,6.0,EARTH,SS03-ENA12,(C),Speed Duel Starter Decks: Ultimate Predators,1.08
90928333,Dark Factory of Mass Production,Spell Card,spell,Target 2 Normal Monsters in your GY; add them to your hand.,Normal,,,,,,SS03-ENB22,(C),Speed Duel Starter Decks: Ultimate Predators,1.53
300203001,Dinosaur Kingdom,Skill Card,skill,All Dinosaur monsters gain 300 ATK/DEF. ,Rex,,,,,,SS03-ENAS1,(C),Speed Duel Starter Decks: Ultimate Predators,1.06
92755808,Element Saurus,Effect Monster,effect,"Gains the following effect(s) while there is a monster(s) with the following Attribute(s) on the field.
● FIRE: This card gains 500 ATK.
● EARTH: Negate the effects of Effect Monsters destroyed by battle with this card.",Dinosaur,,1500.0,1200.0,4.0,DARK,SS03-ENA14,(C),Speed Duel Starter Decks: Ultimate Predators,1.05
30531525,Enchanting Fitting Room,Spell Card,spell,"Pay 800 LP; excavate the top 4 cards of your Deck and Special Summon all excavated Level 3 or lower Normal Monsters, also, after that, shuffle the rest back into your Deck.",Normal,,,,,,SS03-ENB21,(C),Speed Duel Starter Decks: Ultimate Predators,1.52
94716515,Eradicating Aerosol,Spell Card,spell,Destroy all Insect monsters on the field.,Normal,,,,,,SS03-ENB25,(C),Speed Duel Starter Decks: Ultimate Predators,1.54
87430998,Forest,Spell Card,spell,"All Insect, Beast, Plant, and Beast-Warrior monsters on the field gain 200 ATK/DEF.",Field,,,,,,SS03-ENB17,(C),Speed Duel Starter Decks: Ultimate Predators,1.13
77491079,Gale Lizard,Flip Effect Monster,effect,FLIP: Target 1 monster your opponent controls; return that target to the hand.,Reptile,,1400.0,700.0,4.0,WATER,SS03-ENA11,(C),Speed Duel Starter Decks: Ultimate Predators,1.05
