id,name,type,frameType,desc,atk,def,level,race,attribute,archetype,Set Code,Set_Rarity,Set_Name,Set_Price
42431843,Ancient Brain,Normal Monster,normal,A fallen fairy that is powerful in the dark.,1000.0,700.0,3.0,Fiend,DARK,,SBTK-EN004,(C),Speed Duel: Trials of the Kingdom,1.08
62633180,Assault on GHQ,Trap Card,trap,"Target 1 monster you control; destroy it, then send 2 cards from the top of your opponent's Deck to the GY.",,,,Normal,,,SBTK-EN042,(C),Speed Duel: Trials of the Kingdom,1.11
88610708,Bashing Shield,Spell Card,spell,Equip only to a Normal Summoned/Set monster. It gains 1000 ATK. You take no battle damage from attacks involving it.,,,,Equip,,,SBTK-EN037,(SR),Speed Duel: Trials of the Kingdom,2.46
76792184,Black Magic Ritual,Spell Card,spell,"This card is used to Ritual Summon ""Magician of Black Chaos"". You must also Tribute monsters from your hand or field whose total Levels equal 8 or more.",,,,Ritual,,Dark Magician,SBTK-EN002,(C),Speed Duel: Trials of the Kingdom,1.23
90654356,Black Ptera,Effect Monster,effect,"If this card is sent from the field to the GY, except by being destroyed by battle: Return it to the hand.",1000.0,500.0,3.0,Dinosaur,WIND,,SBTK-EN020,(C),Speed Duel: Trials of the Kingdom,1.05
97783659,Blood Sucker,Effect Monster,effect,If this card inflicts battle damage to your opponent: Send the top card of their Deck to the GY.,1300.0,1500.0,4.0,Zombie,DARK,,SBTK-EN019,(C),Speed Duel: Trials of the Kingdom,1.06
18914778,Change Slime,Normal Monster,normal,A slime that can morph and adopt the shape and size of any monster it chooses.,400.0,300.0,1.0,Aqua,WATER,Slime,SBTK-EN006,(C),Speed Duel: Trials of the Kingdom,1.1
300104004,Cocoon of Ultra Evolution (Skill Card),Skill Card,skill,"Activate the following Skill(s) during your Main Phase.
● You can Tribute 1 Insect monster from either field equipped with an Equip Card, and if you do, Special Summon 1 Insect monster from your Deck, ignoring its Summoning conditions, also flip this card over.
● You can shuffle 1 Insect monster from your GY into the Deck, then draw 1 card, also flip this card over.
Each of these Skills can only be used once per Duel.",,,,Weevil,,,SBTK-ENS04,(UR),Speed Duel: Trials of the Kingdom,7.23
53713014,Crazy Fish,Normal Monster,normal,A flying fish that attacks with its pointed head.,1600.0,1200.0,4.0,Fish,WATER,,SBTK-EN008,(C),Speed Duel: Trials of the Kingdom,1.12
39978267,Cyber Raider,Effect Monster,effect,"If this card is Summoned: Activate 1 of these effects.
● Target 1 Equip Card on the field; destroy that target.
● Target 1 Equip Card on the field; equip that target to this card.",1400.0,1000.0,4.0,Machine,DARK,,SBTK-EN012,(C),Speed Duel: Trials of the Kingdom,1.09
71200730,Despair from the Dark,Effect Monster,effect,If this card is sent from your hand or Deck to your GY by an opponent's card effect: Special Summon this card.,2800.0,3000.0,8.0,Zombie,DARK,,SBTK-EN018,(C),Speed Duel: Trials of the Kingdom,1.14
300104003,Dino Destruction,Skill Card,skill,"Activate this Skill during your Main Phase. Once per turn, you can choose 1 Level 6 or higher Dinosaur monster you control. This turn, if it attacks a Defense Position monster, inflict piercing battle damage. Flip this card over at the end of the turn you activated this Skill.",,,,Rex,,,SBTK-ENS03,(SR),Speed Duel: Trials of the Kingdom,1.5
76922029,Don Zaloog,Effect Monster,effect,"When this card inflicts battle damage to your opponent: You can activate 1 of these effects;
● Discard 1 random card from their hand.
● Send the top 2 cards of their Deck to the GY.",1400.0,1500.0,4.0,Warrior,DARK,Dark Scorpion,SBTK-EN016,(UR),Speed Duel: Trials of the Kingdom,6.87
75652080,Double Cyclone,Spell Card,spell,Target 1 Spell/Trap you control and 1 Spell/Trap your opponent controls; destroy them.,,,,Quick-Play,,,SBTK-EN035,(C),Speed Duel: Trials of the Kingdom,1.12
56916805,Energy Drain,Trap Card,trap,"Target 1 face-up monster you control; it gains 200 ATK/DEF for each card your opponent currently has in their hand, until the end of this turn.",,,,Normal,,,SBTK-EN041,(C),Speed Duel: Trials of the Kingdom,1.06
75560629,Flint,Spell Card,spell,The equipped monster loses 300 ATK and cannot change its battle position or declare an attack. If this card is destroyed because the equipped monster is destroyed: Target 1 monster on the field; equip this card to that monster.,,,,Equip,,,SBTK-EN033,(C),Speed Duel: Trials of the Kingdom,1.1
83812099,Flint Lock,Effect Monster,effect,"Once per turn: You can target 1 ""Flint"" in the Spell & Trap Zone; equip it to this card. During your Main Phase: You can target 1 ""Flint"" equipped to this card, and 1 face-up monster on the field, except this card; equip that ""Flint"" to that targeted monster. This card can only be equipped with 1 ""Flint"". While equipped with ""Flint"", this card is unaffected by the effect of ""Flint"", and cannot be destroyed by battle.",1500.0,800.0,4.0,Machine,LIGHT,,SBTK-EN021,(C),Speed Duel: Trials of the Kingdom,1.09
69599136,Floodgate Trap Hole,Trap Card,trap,When your opponent Summons a monster(s): Change that monster(s) to face-down Defense Position. Monsters changed to face-down Defense Position by this effect cannot change their battle positions.,,,,Normal,,Hole,SBTK-EN046,(UR),Speed Duel: Trials of the Kingdom,7.81
72299832,Giant Mech-Soldier,Normal Monster,normal,This monster swings an earth-shaking axe that cannot be blocked by a common sword.,1750.0,1900.0,6.0,Machine,EARTH,,SBTK-EN007,(C),Speed Duel: Trials of the Kingdom,1.15
84620194,Girochin Kuwagata,Normal Monster,normal,"Despite its small size, this monster has powerful jaws that can rip metal to shreds.",1700.0,1000.0,4.0,Insect,WIND,,SBTK-EN009,(C),Speed Duel: Trials of the Kingdom,1.17
87102774,Golden Ladybug,Effect Monster,effect,"During your Standby Phase: You can reveal this card in your hand, and it will remain revealed until the end of this turn; gain 500 LP.",0.0,0.0,1.0,Insect,LIGHT,,SBTK-EN022,(SR),Speed Duel: Trials of the Kingdom,5.97
39033131,Haunted Shrine,Trap Card,trap,"If you control no monsters: Target 1 Zombie monster in your GY; Special Summon it. If you control no monsters: You can banish this card from your GY, then target 1 Zombie monster in your GY; Special Summon it, but its effects are negated. You can only use 1 ""Haunted Shrine"" effect per turn, and only once that turn.",,,,Normal,,,SBTK-EN043,(UR),Speed Duel: Trials of the Kingdom,10.67
47025270,Helping Robo for Combat,Effect Monster,effect,"If this card destroys an opponent's monster by battle: Draw 1 card, then return 1 card from your hand to the bottom of the Deck.",1600.0,0.0,4.0,Machine,LIGHT,,SBTK-EN017,(C),Speed Duel: Trials of the Kingdom,1.01
34559295,Iron Draw,Spell Card,spell,"If you control exactly 2 Machine Effect Monsters and no other monsters: Draw 2 cards. For the rest of this turn after this card resolves, you can only Special Summon once. You can only activate 1 ""Iron Draw"" per turn.",,,,Normal,,,SBTK-EN038,(C),Speed Duel: Trials of the Kingdom,1.19
16111820,Jurrac Herra,Effect Monster,effect,"When a Defense Position ""Jurrac"" monster you control, except ""Jurrac Herra"", is destroyed by battle and sent to the GY: You can Special Summon this card from your hand or GY.",2300.0,1500.0,6.0,Dinosaur,FIRE,Jurrac,SBTK-EN025,(SR),Speed Duel: Trials of the Kingdom,2.14
44689688,Jurrac Spinos,Effect Monster,effect,"If this card destroys an opponent's monster by battle and sends it to the GY: Special Summon 1 ""Spinos Token"" (Dinosaur/FIRE/Level 1/ATK 300/DEF 0) in Attack Position to your opponent's field.",2600.0,1700.0,7.0,Dinosaur,FIRE,Jurrac,SBTK-EN023,(C),Speed Duel: Trials of the Kingdom,1.1
48411996,Jurrac Stauriko,Effect Monster,effect,"If this card is destroyed by battle: Special Summon 2 ""Jurrac Tokens"" (Dinosaur/FIRE/Level 1/ATK 0/DEF 0) in Defense Position. They cannot be Tributed for a Tribute Summon, unless it is for a ""Jurrac"" monster.",500.0,400.0,2.0,Dinosaur,FIRE,Jurrac,SBTK-EN024,(SR),Speed Duel: Trials of the Kingdom,1.63
